taxid	rank	pct	classification	pct_gs	sample	tool
119856	strain	0.001783	TP	0.001783	test1	Gold standard
119857	strain	0.008914	TP	0.008914	test1	Gold standard
1224	phylum	14.905869	TP	14.905869	test1	Gold standard
1236	class	14.905869	TP	14.905869	test1	Gold standard
1869285	genus	0.001783	TP	0.001783	test1	Gold standard
2	superkingdom	15.139414	TP	15.139414	test1	Gold standard
262	genus	14.67589	TP	14.67589	test1	Gold standard
263	species	10.696713	TP	10.696713	test1	Gold standard
264	strain	0.030307	TP	0.030307	test1	Gold standard
28110	species	0.001783	TP	0.001783	test1	Gold standard
34064	family	14.806033	TP	14.806033	test1	Gold standard
622488	species	0.012479	TP	0.012479	test1	Gold standard
72273	order	14.807816	TP	14.807816	test1	Gold standard
954	species	0.005348	TP	0.005348	test1	Gold standard
1001534	strain	0.0002	FP		test1	test1_kraken2
100177	species	0.0001	FP		test1	test1_kraken2
1004788	strain	0.0001	FP		test1	test1_kraken2
1031538	species	0.0001	FP		test1	test1_kraken2
1049565	strain	0.0001	FP		test1	test1_kraken2
1054	species	0.0001	FP		test1	test1_kraken2
1071983	species	0.0001	FP		test1	test1_kraken2
1072685	strain	0.0001	FP		test1	test1_kraken2
107401	species	0.0001	FP		test1	test1_kraken2
1077946	species	0.0001	FP		test1	test1_kraken2
108015	species	0.0001	FP		test1	test1_kraken2
1085644	species	0.0017	FP		test1	test1_kraken2
1085647	species	0.0022	FP		test1	test1_kraken2
1086726	strain	0.032804	FP		test1	test1_kraken2
1088883	strain	0.012002	FP		test1	test1_kraken2
1089444	species	0.0001	FP		test1	test1_kraken2
1111732	strain	0.0001	FP		test1	test1_kraken2
1117645	species	0.001001	FP		test1	test1_kraken2
115778	species	0.0001	FP		test1	test1_kraken2
1160784	species	0.0001	FP		test1	test1_kraken2
1176649	species	0.0001	FP		test1	test1_kraken2
1182172	strain	0.0001	FP		test1	test1_kraken2
1196083	species	0.0001	FP		test1	test1_kraken2
119856	strain	0.005401	TP	0.001783	test1	test1_kraken2
119857	strain	0.040605	TP	0.008914	test1	test1_kraken2
1209220	species	0.0001	FP		test1	test1_kraken2
1224	phylum	0.208229	TP	14.905869	test1	test1_kraken2
1232394	strain	0.0022	FP		test1	test1_kraken2
1236	class	0.626287	TP	14.905869	test1	test1_kraken2
1239	phylum	0.0004	FP		test1	test1_kraken2
1247	species	0.0001	FP		test1	test1_kraken2
126156	species	0.0001	FP		test1	test1_kraken2
1266923	strain	0.0001	FP		test1	test1_kraken2
1269	genus	0.0003	FP		test1	test1_kraken2
1279	genus	0.0002	FP		test1	test1_kraken2
1279013	strain	0.0001	FP		test1	test1_kraken2
